Country,location,category,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
MX,San Luis Potosi,Retail & recreation,5.139,8.588,-1.366,-1.387,-0.166,-0.22,-6.297,-0.476,6.445,-15.141,-2.243,-0.068,0.719,-0.988,5.946,5.157,-9.619,-5.274,-9.813,-15.462,-23.186,-28.181,-33.515,-30.738,-33.628,-34.957,-36.28,-39.102,-38.271,-42.87,-34.55,-33.995,-34.38,-42.76,-51.574,-52.228,-56.873,-50.243,-49.163,-46.35,-55.16,-70.877,-64.487
MX,San Luis Potosi,Transit stations,8.546,10.658,6.441,1.765,2.099,3.876,4.199,3.298,-0.627,1.073,6.259,2.099,6.511,14.96,28.335,-5.8,18.251,1.123,-8.078,-13.489,-25.066,-24.138,-34.013,-31.749,-35.795,-35.865,-39.381,-44.226,-40.331,-50.001,-42.179,-42.537,-42.004,-46.977,-50.132,-42.729,-49.843,-46.473,-44.463,-41.196,-50.543,-66.93,-59.371
MX,San Luis Potosi,Workplace,5.872,4.619,13.26,7.273,7.027,6.781,13.641,5.73,4.069,-13.055,7.727,6.993,6.702,8.028,2.126,1.54,-57.939,-2.934,-8.386,-12.108,-9.993,-6.195,-8.505,-25.844,-32.468,-34.907,-36.393,-31.076,-16.886,-17.778,-36.861,-41.588,-43.586,-45.584,-40.922,-25.896,-23.534,-48.745,-52.803,-54.277,-65.95,-72.56,-51.063
MX,Sinaloa,Grocery & pharmacy,5.32,8.154,4.635,0.116,0.057,1.11,-4.349,-2.43,1.04,-10.372,-1.545,-1.253,3.526,5.416,11.39,11.655,2.072,5.814,3.895,3.73,-0.137,-4.496,-9.254,-12.184,-15.23,-17.418,-16.715,-16.781,-14.255,-16.433,-14.349,-14.213,-12.641,-9.591,-12.421,-10.38,-17.589,-16.44,-19.747,-17.619,-23.588,-34.354,-32.452
MX,Sinaloa,Parks,-2.096,7.696,-1.81,-3.548,0.945,0.455,4.053,4.484,11.544,-3.95,1.026,1.89,6.974,13.136,14.791,27.518,12.262,-9.067,-12.281,-14.705,-18.026,-29.232,-30.782,-27.238,-32.486,-31.097,-30.927,-31.581,-36.394,-40.401,-33.163,-33.748,-33.852,-35.551,-37.519,-43.673,-47.688,-39.663,-41.633,-40.544,-44.268,-49.537,-55.377
MX,Sinaloa,Residential,-0.269,-0.009,-1.519,-0.161,-0.171,-0.513,0.015,0.357,0.542,7.415,-0.914,-0.687,-1.629,-0.882,-1.339,-1.034,10.189,1.021,3.895,5.739,6.991,8.028,8.611,11.706,13.887,14.833,15.434,16.667,12.363,12.719,15.058,16.056,16.929,17.958,19.868,15.251,14.537,19.142,19.851,19.605,23.809,28.668,21.889
MX,Sinaloa,Retail & recreation,0.134,3.013,-2.219,-0.322,-1.271,-0.468,-8.211,-4.328,0.965,-15.154,-1.572,-1.979,1.209,1.611,3.585,4.188,-9.868,-5.391,-9.972,-12.723,-20.792,-27.562,-35.602,-30.451,-32.587,-35.201,-35.927,-38.636,-39.191,-46.173,-35.544,-33.736,-35.831,-43.425,-52.294,-53.445,-61.143,-53.93,-53.353,-53.362,-63.519,-73.152,-70.829
MX,Sinaloa,Transit stations,-4.368,-1.262,-1.887,-0.974,-2.845,-2.65,-0.132,-8.594,-9.804,-8.408,3.776,-1.691,2.602,12.237,9.72,-11.413,6.031,7.847,-7.59,-14.903,-25.837,-29.257,-38.4,-39.149,-38.704,-44.01,-47.161,-52.833,-49.685,-55.978,-49.513,-46.712,-46.446,-49.912,-56.382,-52.15,-58.331,-56.616,-53.226,-52.602,-60.164,-73.053,-71.756
MX,Sinaloa,Workplace,4.637,3.203,10.443,6.403,7.377,7.774,12.031,4.347,3.666,-20.215,7.119,5.961,6.686,5.596,2.92,2.144,-54.228,2.288,-2.42,-8.163,-5.865,-5.737,-7.587,-28.36,-33.437,-35.574,-37.001,-32.913,-17.718,-18.742,-38.198,-41.871,-43.774,-45.246,-41.632,-26.429,-25.957,-49.144,-52.373,-54.172,-67.855,-72.408,-56.788
MX,Sonora,Grocery & pharmacy,8.485,7.778,3.601,-0.094,3.704,4.286,3.342,3.19,-0.997,-4.966,1.909,1.824,-2.157,13.467,14.728,11.942,16.156,10.402,-11.874,-4.014,-5.962,-8.602,-15.916,-14.883,-15.933,-16.062,-15.766,-13.518,-11.515,-19.581,-16.607,-16.24,-12.357,-12.955,-13.394,-14.163,-23.938,-21.02,-21.208,-15.453,-17.582,-27.772,-28.313
