Country,location,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
AR,Buenos Aires,Grocery & pharmacy,6.4,-20.671,-17.393,6.633,6.42,6.647,15.475,16.93,11.875,18.973,17.57,18.633,17.609,20.724,21.829,15.95,20.261,-13.403,33.094,31.303,20.938,69.019,24.432,0.885,4.304,26.498,-41.783,-43.455,-51.556,-58.368,-59.469,-45.419,-47.161,-44.25,-40.864,-48.418,-46.397,-54.361,-43.453,-41.82,-39.069,-35.486,-43.929
AR,Buenos Aires,Parks,17.254,18.059,5.169,16.25,4.319,7.06,4.748,0.944,0.66,15.132,19.386,8.359,10.889,15.579,-4.836,23.313,15.357,-28.348,-1.115,-0.354,-49.779,-30.224,-29.403,-48.473,-42.262,-48.322,-85.161,-88.21,-91.529,-91.554,-91.176,-82.581,-84.717,-84.837,-87.726,-90.987,-86.818,-89.749,-83.039,-84.824,-83.257,-86.115,-89.296
AR,Buenos Aires,Residential,1.431,9.183,10.574,-2.056,0.094,0.128,1.625,2.961,-0.668,-0.709,-1.355,-0.807,-0.757,1.139,2.952,-0.807,-1.526,2.159,-0.525,0.445,10.908,10.637,9.439,15.78,17.463,17.411,39.26,32.601,30.915,39.199,38.819,35.879,38.135,41.005,32.754,30.611,36.633,38.188,35.167,37.204,39.966,32.16,30.035
AR,Buenos Aires,Retail & recreation,17.716,-22.326,-32.281,3.076,4.416,7.006,16.408,9.526,7.311,9.254,10.602,10.141,14.078,20.02,14.811,11.458,13.43,-19.344,3.905,0.662,-21.759,-19.198,-24.76,-43.017,-45.844,-46.535,-89.059,-90.248,-91.199,-93.408,-93.566,-89.455,-89.712,-89.298,-88.988,-90.107,-89.048,-91.654,-87.579,-87.445,-87.349,-87.229,-88.286
AR,Buenos Aires,Transit stations,8.593,-40.677,-43.751,11.019,10.204,13.03,12.844,8.437,5.886,9.626,9.607,12.421,15.315,19.123,11.426,21.46,14.24,-0.515,10.641,8.271,-17.016,-13.693,-21.728,-37.499,-43.087,-45.399,-81.874,-81.483,-83.126,-89.587,-89.68,-81.944,-82.514,-81.894,-80.142,-82.456,-83.575,-88.01,-81.217,-81.064,-79.45,-77.4,-79.646
AR,Buenos Aires,Workplace,-5.677,-69.575,-68.74,7.944,7.319,9.1,-0.858,-8.734,10.537,11.815,11.53,10.319,11.782,-0.173,-10.896,11.707,13.983,9.418,12.042,11.818,-11.124,-17.77,-8.3,-24.848,-34.146,-39.571,-77.323,-70.144,-69.011,-89.587,-89.665,-80.578,-81.302,-80.197,-71.342,-68.961,-82.074,-88.533,-79.137,-79.562,-78.069,-68.167,-66.005
AR,Buenos Aires Province,Grocery & pharmacy,9.056,-13.837,-15.02,0.879,0.585,1.364,4.121,0.784,0.82,4.338,0.269,5.577,7.675,7.566,1.353,3.034,9.399,-16.445,11.302,9.617,-0.131,18.364,7.111,-10.687,-9.697,14.015,-35.857,-47.448,-60.889,-63.033,-61.704,-47.668,-49.42,-45.77,-47.321,-59.514,-51.674,-56.185,-46.58,-42.529,-39.772,-40.884,-52.842
AR,Buenos Aires Province,Parks,15.156,33.548,7.039,5.355,-7.055,-14.726,-11.379,-15.704,-12.008,-11.269,-3.98,-15.02,-13.682,-14.259,-22.911,-24.079,-18.221,-42.709,-20.887,-24.507,-54.302,-46.881,-43.089,-62.183,-52.355,-57.432,-82.459,-87.669,-92.191,-90.171,-90.075,-84.384,-86.267,-84.286,-86.662,-91.341,-85.767,-87.784,-82.65,-83.285,-81.35,-83.862,-89.24
AR,Buenos Aires Province,Residential,0.101,7.385,8.564,-2.531,-0.277,-0.369,1.213,2.021,-1.131,-0.955,-1.692,-0.888,-1.513,0.816,2.19,-0.146,-1.557,1.845,-1.592,-1.554,8.881,8.094,5.559,10.861,11.412,11.849,30.048,28.076,26.145,32.579,32.15,28.795,31.135,33.197,28.938,25.981,29.549,31.253,27.835,29.829,31.741,27.708,24.789
AR,Buenos Aires Province,Retail & recreation,12.765,-5.418,-16.389,-1.485,-1.477,-0.068,2.58,-6.742,-5.07,-4.051,-5.745,-0.507,3.944,2.433,-3.315,-4.999,0.182,-27.776,-5.014,-7.522,-26.741,-32.076,-29.557,-43.401,-43.557,-38.722,-78.15,-83.26,-88.648,-88.554,-88.326,-82.585,-82.891,-81.24,-82.623,-87.695,-82.736,-84.937,-80.292,-78.343,-77.377,-78.519,-84.322
