Country,location,category,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
AR,Argentina,Grocery & pharmacy,4.686,2.874,3.959,5.091,2.898,4.237,7.631,7.222,4.425,5.439,8.046,-6.831,8.225,10.129,4.578,16.952,7.88,-11.395,-10.623,4.993,-40.436,-49.071,-61.218,-63.753,-63.569,-50.052,-52.21,-48.608,-47.999,-60.954,-51.497,-58.58,-46.459,-46.744,-41.299,-41.123,-53.836,-40.918,-30.132,-27.659,-29.634,-57.86,-33.518
AR,Argentina,Parks,-7.586,-10.522,-8.268,-6.245,-0.583,-8.889,-6.801,-9.608,-12.359,-9.13,-8.651,-24.131,-15.555,-17.129,-40.468,-43.751,-39.436,-53.751,-48.797,-54.948,-80.031,-85.382,-89.948,-88.347,-87.987,-82.435,-83.702,-81.864,-84.328,-89.154,-83.038,-85.317,-79.496,-81.166,-78.215,-81.164,-86.681,-77.46,-72.361,-69.28,-75.502,-84.973,-79.697
AR,Argentina,Residential,1.405,2.413,-1.367,-1.334,-1.92,-1.495,-2,1.215,2.182,-0.817,-2.096,0.203,-1.414,-1.129,7.184,8.777,6.342,10.633,12.001,12.603,29.363,28.03,27.358,31.666,31.072,28.353,30.107,32.405,28.835,27.365,28.485,29.955,27.024,28.834,30.599,27.25,25.869,26.032,25.104,24.363,27.238,34.833,27.005
AR,Argentina,Retail & recreation,5.263,-2.511,0.535,0.198,-0.985,0.733,6.373,5.389,3.01,1.371,2.685,-15.517,-4.241,-4.733,-18.764,-29.347,-26.903,-40.832,-42.793,-42.202,-78.485,-82.645,-87.283,-87.826,-87.858,-82.421,-82.75,-81.229,-81.714,-86.483,-81.16,-84.538,-78.879,-78.949,-76.752,-77.296,-82.976,-74.775,-82.223,-81.649,-82.899,-89.979,-84.293
AR,Argentina,Transit stations,5.595,0.944,6.931,8.202,7.567,10.191,12.04,8.476,2.63,13.178,13.621,-6.097,10.392,7.288,-19.48,-17.249,-16.545,-31.844,-34.599,-35.079,-72.116,-75.409,-81.019,-84.974,-84.972,-76.76,-77.253,-75.292,-75.465,-80.396,-77.265,-81.632,-74.806,-73.954,-71.108,-70.592,-75.91,-69.812,-64.272,-63.289,-66.781,-78.875,-66.794
AR,Argentina,Workplaces,2.156,-2.36,16.164,16.192,17.953,17.557,18.163,2.756,-2.325,14.688,18.222,15.189,18.187,18.21,-3.851,-9.812,0.894,-11.995,-18.855,-24.291,-60.537,-57.28,-57.88,-79.097,-79.293,-67.967,-68.171,-66.728,-59.253,-57.303,-68.314,-76.378,-64.188,-64.492,-62.009,-53.548,-52.12,-59.665,-59.357,-58.125,-63.476,-75.929,-51.836
AU,Australia,Grocery & pharmacy,6.102,7.434,4.658,7.375,12.463,9.132,14.217,12.235,8.191,3.112,8.625,8.26,10.845,17.257,19.701,23.875,33.359,34.723,31.793,25.082,20.021,10.704,9.716,17.435,4.095,1.905,1.699,2.206,-8.503,-18.732,-12.772,-13.433,-12.942,-13.5,-7.116,-14.126,-18.11,-11.828,-9.725,-5.7,15.43,-55.454,-1.716
AU,Australia,Parks,17.764,19.676,-0.581,-14.01,-15.145,-18.617,-6.472,9.743,13.515,5.009,-11.432,-1.637,2.165,-8.237,-15.379,-7.684,-17.611,-20.619,-14.654,-8.972,-12.101,-9.069,-10.815,-27.174,-30.191,-32.846,-23.225,-30.109,-33.527,-34.66,-35.127,-34.703,-36.478,-41.941,-41.35,-52.369,-42.616,-34.708,-39.159,-38.34,-30.998,-43.349,-50.915
AU,Australia,Residential,-1.019,-0.493,-0.451,-1.455,-0.698,-0.389,-2.168,-0.087,-0.16,3.984,-0.715,-0.678,-0.76,-0.816,2.202,2.44,1.138,3.01,4.698,5.468,5.644,6.697,6.431,7.88,12.367,14.368,15.91,16.7,14.768,13.278,16.211,17.807,18.866,20.016,20.048,17.202,14.314,17.088,18.58,18.781,17.754,33.372,17.666
AU,Australia,Retail & recreation,6.399,3.707,-0.487,-1.669,0.351,-2.032,3.225,3.457,3.144,-3.065,-2.47,-1.287,-1.379,0.649,-0.596,-2.029,-1.46,-5.142,-6.541,-10.244,-11.557,-16.561,-18.342,-17.046,-30.03,-30.941,-34.244,-35.483,-40.953,-44.893,-39.373,-40.519,-39.835,-42.216,-39.945,-44.287,-44.062,-36.972,-38.231,-35.257,-27.768,-76.212,-40.138
