Country,location,category,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05
IN,India,Workplaces,2.213,4.271,1.055,3.25,3.596,4.656,7.707,3.381,4.848,3.572,6.921,4.969,4.825,6.876,6.03,-12.394,-43.88,-5.349,-0.364,0.354,-5.534,1.664,-3.938,-8.356,-7.61,-11.143,-14.866,-17.765,-49.251,-50.413,-64.912,-71.834,-70.256,-69.78,-65.786,-46.674,-67.977,-68.224,-68.245,-69.235,-66.677,-61.095,-42.906
IT,Italy,Grocery & pharmacy,16.073,23.017,5.011,-4.899,-2.81,-2.317,-2.056,-5.295,-6.676,-0.944,0.669,0.409,0.302,1.21,2.563,-0.819,-2.206,-14.399,-23.274,-27.691,-42.62,-59.72,-36.513,-40.88,-43.43,-43.624,-40.066,-51.501,-84.64,-45.417,-47.981,-51.366,-51.892,-45.747,-53.691,-84.798,-46.812,-42.414,-41.175,-40.234,-37.502,-47.714,-82.108
IT,Italy,Parks,23.071,21.999,19.648,-5.877,-1.197,10.527,2.293,-29.793,-26.105,-8.655,7.897,-11.691,-7.762,1.881,1.224,-23.922,-31.902,-31.784,-60.575,-63.773,-78.302,-81.116,-67.388,-68.041,-70.684,-73.963,-77.295,-85.159,-91.456,-80.842,-80.165,-82.369,-84.025,-82.339,-85.686,-90.208,-79.299,-77.696,-77.12,-77.29,-78.429,-84.445,-89.874
IT,Italy,Residential,-0.05,4.054,5.245,5.696,5.697,5.128,3.385,4.26,4.976,4.282,3.904,6.973,7.755,6.014,5.999,11.4,15.691,18.658,24.298,27.548,24.989,22.092,27.16,28.556,29.575,30.711,32.105,26.486,24.228,31.618,32.476,33.621,35.26,35.987,27.356,23.88,31.922,32.625,32.922,33.659,34.659,26.87,24.031
IT,Italy,Retail & recreation,-5.313,-4.181,-5.959,-13.303,-9.615,-7.997,-9.937,-18.881,-13.422,-6.956,-7.298,-12.297,-14.77,-19.283,-31.554,-30.044,-43.035,-51.982,-70.284,-74.76,-83.365,-90.151,-75.022,-77.08,-78.752,-79.025,-79.855,-85.903,-94.79,-80.113,-81.387,-83.298,-84.183,-82.767,-86.526,-94.496,-81.262,-90.423,-90.406,-90.034,-84.958,-88.519,-95.158
IT,Italy,Transit stations,5.661,-14.71,-18.298,-22.778,-21.733,-19.689,-16.064,-25.69,-24.525,-20.696,-18.791,-27.645,-28.523,-23.886,-26.989,-42.399,-50.763,-56.71,-67.154,-70.868,-76.136,-80.134,-74.403,-75.555,-76.815,-77.985,-78.304,-80.385,-86.887,-80.985,-80.609,-81.94,-83.168,-82.154,-81.548,-86.571,-80.686,-79.234,-78.593,-78.794,-79.454,-79.949,-85.878
IT,Italy,Workplaces,1.037,-13.79,-15.092,-12.405,-11.853,-11.739,-8.557,-5.316,-8.533,-8.134,-8.029,-15.805,-16.676,-15.107,-10.45,-23.842,-31.261,-37.155,-46.77,-52.857,-57.691,-55.273,-57.679,-60.628,-61.318,-62.668,-63.245,-62.611,-63.423,-68.042,-69.18,-70.19,-72.316,-71.253,-64.905,-63.285,-69.318,-70.198,-69.586,-69.678,-69.014,-63.113,-62.256
JP,Japan,Grocery & pharmacy,3.236,3.928,6.611,3.336,6.346,13.866,9.376,8.768,2.524,8.856,-1.842,2.701,1.667,2.085,-4.19,1.841,-2.564,4.118,5.423,2.891,-4.299,5.122,-0.013,4.019,3.306,6.081,6.306,4.931,1.204,0.295,3.184,8.049,12.581,3.004,1.004,-7.289,3.956,6.526,-4.662,6.479,5.565,6.485,2.222
JP,Japan,Parks,16.085,53.543,-0.318,-4.989,-3.77,-4.224,-22.303,-1.15,-15.437,11.454,-20.642,-8.239,4.838,-8.2,-35.228,11.235,-28.285,12.753,16.148,10.026,-38.849,9.162,-6.595,13.988,20.43,16.717,39.906,33.929,17.806,10.686,14.369,30.783,25.922,-9.461,-23.071,-24.672,-2.232,8.971,-29.165,13.435,25.704,26.387,3.465
JP,Japan,Residential,-0.202,14.365,0.862,0.967,1.45,2.182,4.158,3.636,3.679,3.526,4.83,4.336,4.872,5.256,5.763,3.75,5.811,3.472,3.496,4.531,6.662,3.494,3.905,3.621,2.769,1.859,16.919,3.361,2.803,3.198,3.705,2.443,3.034,6.123,7.207,7.139,5.33,5.43,6.826,6.237,7.143,8.004,7.806
JP,Japan,Retail & recreation,0.549,17.69,0.109,-3.701,-2.838,-2.144,-9.777,-10.312,-9.91,-1.762,-12.207,-8.561,-9.369,-12.051,-16.707,-6.909,-9.326,-3.304,-2.617,-4.89,-13.815,-7.212,-6.935,-1.026,-2.692,4.409,7.213,-5.927,-8.93,-4.174,0.339,1.706,0.123,-9.503,-18.094,-25.87,-7.302,-4.326,-19.636,-12.009,-14.486,-20.552,-25.386
JP,Japan,Transit stations,1.746,-26.635,-1.858,-5.11,-6.716,-10.148,-20.687,-23.196,-15.414,-15.122,-19.22,-17.712,-18.117,-23.584,-31.487,-15.16,-18.468,-15.812,-15.433,-16.786,-27.464,-21.312,-15.258,-14.728,-13.507,-10.261,-33.735,-14.602,-17.707,-12.986,-13.323,-11.15,-12.861,-19.4,-32.555,-40.606,-19.604,-19.502,-24.821,-23.254,-24.521,-35.328,-42.859
JP,Japan,Workplaces,-0.003,-54.747,0.756,0.502,0.317,0.693,3.189,1.474,-1.631,-2.487,-4.183,-3.649,-3.711,-3.526,-5.364,-2.988,-5.381,-4.245,-4.15,-4.477,-7.402,-2.625,-2.965,-3.794,-3.509,-4.229,-53.859,-7.288,-3.116,-3.337,-4.293,-4.365,-5.174,-7.303,-7.844,-8.538,-7.597,-7.17,-9.901,-10.46,-10.564,-12.195,-13.279
KR,South Korea,Grocery & pharmacy,-18.094,6.224,-12.621,-7.293,-10.415,-16.559,-9.729,-7.982,-0.784,-6.993,-10.375,-11.39,-8.048,-7.333,-13.593,1.126,-11.326,-2.999,-4.755,-4.614,0.963,0.586,1.06,-4.695,-0.928,-13.401,-1.728,3.979,-8.014,6.072,0.069,1.117,-7.849,-3.627,1.821,10.641,4.216,2.122,0.429,-1.764,0.808,5.398,13.581
KR,South Korea,Parks,-11.841,6.404,-38.108,5.159,0.576,-37.909,-12.536,-17.3,9.916,2.434,-7.171,-1.703,0.573,-16.067,34.202,16.055,-32.214,23.49,18.526,1.989,3.942,-3.088,22.677,11.851,47.386,-17.625,17.387,30.87,52.028,46.95,40.473,60.636,3.004,3.599,15.862,51.356,59.708,53.995,44.122,43.677,36.321,25.21,46.272
KR,South Korea,Residential,8.347,7.666,9.9,9.302,9.441,13.121,12.461,11.332,9.175,7.784,10.027,9.369,10.146,11.332,8.545,8.086,9.22,7.914,7.735,9.314,8.825,8.772,7.681,6.392,7.044,9.122,8.02,7.427,6.557,6.772,5.494,6.609,8.39,9.757,8.128,6.266,6.577,4.902,7.063,6.532,7.259,7.129,5.721
KR,South Korea,Retail & recreation,-31.262,-20.961,-32.566,-29.182,-30.092,-36.609,-37.591,-40.59,-23.023,-24.004,-29.612,-28.241,-26.753,-32.378,-26.817,-18.515,-26.8,-21.909,-23,-23.697,-24.536,-28.326,-16.653,-18.74,-19.177,-28.296,-20.162,-21.261,-20.03,-14.556,-16.19,-17.913,-24.945,-22.631,-22.897,-19.305,-12.987,-11.302,-17.962,-18.015,-17.524,-19.283,-16.769
KR,South Korea,Transit stations,-25.255,-15.275,-25.853,-22.208,-24.139,-29.772,-31.667,-36.214,-19.553,-20.774,-25.382,-24.845,-22.269,-29.466,-23.696,-16.574,-24.512,-18.023,-19.655,-19.885,-22.048,-28.616,-16.089,-17.001,-15.743,-25.028,-16.789,-18.331,-17.219,-13.263,-13.399,-13.514,-21.439,-19.819,-20.439,-17.239,-11.909,-9.535,-14.703,-14.636,-12.522,-16.474,-14.462
KR,South Korea,Workplaces,-9.48,-5.846,-10.475,-10.815,-10.288,-11.823,-9.717,-15.975,-8.395,-8.764,-10.505,-8.928,-8.613,-7.932,-13.832,-6.071,-8.701,-8.203,-6.983,-7.141,-5.313,-12.309,-5.545,-5.933,-7.036,-6.907,-5.587,-5.016,-12.41,-5.251,-5.965,-7.627,-7.249,-7.531,-6.643,-11.556,-5.743,-5.432,-7.503,-6.307,-6.342,-7.867,-12.599
MX,Mexico,Grocery & pharmacy,1.405,-0.142,-1.956,-1.321,1.297,5.838,8.366,8.665,5.953,2.552,4.3,3.209,0.392,1.911,3.131,-5.838,0.175,1.951,3.761,6.333,10.085,7.05,5.396,5.026,2.566,0.553,-3.319,-6.654,-13.326,-13.575,-15.742,-16.476,-17.031,-16.569,-13.891,-19.352,-15.394,-15.281,-12.582,-11.986,-10.946,-10.831,-18.704
MX,Mexico,Parks,8.319,6.1,7.144,2.595,-0.398,2.6,5.376,6.511,1.786,1.902,2.236,2.536,-0.093,3.771,9.776,-7.935,1.851,2.133,3.243,2.505,6.115,6.429,-7.024,-8.102,-13.993,-16.395,-22.357,-31.571,-37.188,-30.163,-32.939,-35.518,-35.962,-37.045,-39.099,-46.315,-35.702,-36.639,-38.643,-40.969,-42.662,-46.059,-51.655
MX,Mexico,Residential,-0.582,-1.429,-1.215,-0.745,-0.972,-2.075,-1.081,-1.01,-1.666,-1.542,-1.278,-1.388,-1.465,-0.358,-0.377,6.53,-1.517,-1.271,-1.723,-0.912,-1.449,-1.264,12.808,1.905,5.721,6.941,9.424,8.924,8.006,12.387,14.246,15.653,16.185,17.418,12.492,11.08,15.347,16.179,17.695,19.112,20.956,15.531,12.778
MX,Mexico,Retail & recreation,2.055,-1.713,-1.502,-3.001,0.74,3.421,5.507,6.175,1.276,0.977,1.019,1.947,-1.309,0.673,3.375,-10.795,-1.526,-0.556,1.373,2.298,2.323,0.33,-10.816,-6.928,-12.69,-16.568,-23.264,-30.624,-36.918,-31.052,-34.604,-36.706,-37.148,-39.023,-39.697,-45.464,-34.976,-35.21,-37.475,-46.505,-55.71,-56.99,-62.075
MX,Mexico,Transit stations,7.04,3.505,1.844,1.226,2.352,5.715,4.762,6.992,4.491,2.333,2.546,2.899,3.333,1.619,3.529,-17.207,3.142,1.824,2.837,4.946,3.697,-3.852,-30.437,-8.608,-16.938,-21.675,-26.044,-28.677,-33.066,-36.765,-40.993,-43.67,-45.799,-46.954,-42.704,-46.526,-46.756,-48.151,-50.423,-52.045,-52.124,-48.188,-51.444
MX,Mexico,Workplaces,1.527,8.353,5.918,6.391,6.952,11.853,5.573,3.214,10.405,8.757,8.522,8.435,12.047,5.705,3.47,-15.563,8.682,8.334,7.752,5.193,3.3,1.036,-54.458,-2.953,-9.927,-13.853,-14.39,-7.372,-10.372,-28.905,-34.084,-36.207,-37.082,-33.905,-17.548,-19.522,-37.902,-41.05,-43.687,-45.775,-42.78,-27.058,-27.099
SA,Saudi Arabia,Grocery & pharmacy,-3.762,-6.34,-2.912,-1.265,4.852,6.396,6.011,5.006,2.691,3.207,2.277,2.675,2.141,1.579,2.387,1.923,3.469,0.343,0.088,-1.379,-0.074,4.303,2.121,-4.994,-8.155,-12.058,-17.677,-15.754,-17.765,-25.255,-22.07,-18.619,-21.917,-29.444,-24.083,-23.631,-26.406,-25.977,-26.039,-25.73,-31.971,-27.642,-24.123
SA,Saudi Arabia,Parks,2.889,5.333,1.91,-3.314,-3.349,2.725,-2.188,1.69,-0.418,-0.37,1.722,-1.768,-0.633,-9.011,-1.722,0.382,3.737,3.591,-11.76,-16.928,-13.673,-8.284,-19.024,-24.624,-29.491,-41.909,-59.46,-49.639,-43.062,-51.095,-50.973,-50.78,-61.216,-74.242,-59.31,-49.287,-50.766,-51.912,-52.289,-60.591,-74.366,-61.355,-51.591
SA,Saudi Arabia,Residential,1.993,1.79,1.395,2.494,0.703,1.566,0.785,0.947,1.033,0.827,0.982,1.223,2.426,2.032,1.956,5.067,4.554,4.658,6.641,5.569,4.808,6.881,9.413,10.979,12.911,16.438,13.717,13.744,18.266,21.143,21.753,21.421,25.645,20.684,18.954,22.682,22.239,22.069,22.431,25.672,21.148,20.198,23.317
