location,type,GPL_CD,GSS_CD,GSS_NM,GSS_ENTITY_CD,GSS_ENTITY_NM,16/02/2020,17/02/2020,18/02/2020,19/02/2020,20/02/2020,21/02/2020,22/02/2020,23/02/2020,24/02/2020,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020
Essex,workplace,GGL050,E10000012,Essex,E10,County,-5.32,-16.01,-15.74,-16.12,-17.39,-17.08,-1.78,-3.06,-1.86,0.7,0.92,-0.66,-0.27,-0.47,0.07,0.57,0.49,0.92,-0.98,0.22,0.58,0.36,0.22,-0.47,-0.22,-1.88,-4.29,-2.36,-4.3,-8.12,-15.29,-21.43,-26.08,-27.2,-23.66,-29.59,-44.03,-57.5,-63.73,-66.12,-65.92,-56.7,-55.9
Kent,grocery,GGL068,E10000016,Kent,E10,County,-13.38,-0.32,-2.25,-1.84,-3.6,-1.24,-2.57,-4.61,-1.86,4.35,-0.7,-0.8,0.12,-0.53,0.57,3.12,2.07,2.8,-3.32,5.98,1.41,1.29,4.61,3.95,4.86,11.52,11.41,8.03,7.55,21.84,26.17,27.71,28.26,11.73,4.62,-12.81,-4.79,-21.78,-23.48,-27.62,-29.35,-39.69,-48.54
Kent,parks,GGL068,E10000016,Kent,E10,County,-49.62,19.58,26.04,16.46,-2.52,25.82,-7.88,-19.43,-11.29,1.43,0.41,-8.26,-12.78,-26.06,19.52,8.28,12.73,0.14,-16.53,30.38,4.33,6.86,16.11,6.58,21.5,14.29,18.38,-9,3.14,33.73,21.03,15.37,1.68,2.61,4.59,12.29,9.94,-3.29,-2.31,-8.12,-17.34,-52.9,-61.81
Kent,residential,GGL068,E10000016,Kent,E10,County,2.44,2.84,2.42,2.62,3.42,2.9,0.16,0.01,1.57,0.11,0.32,1.11,1.03,0.89,-0.68,0.69,0.12,0.66,1.79,0.19,0.03,0,1,1.07,1.18,1.61,2.42,2.42,1.84,3.55,6.47,9.21,10.93,12.32,10.31,8.5,16.82,22.8,25.06,26.07,27.24,18.86,15.12
Kent,retail,GGL068,E10000016,Kent,E10,County,-16.11,10.41,11.05,9.62,6.64,5.86,-2.51,-5.19,-2.44,2.08,1.32,-0.14,-0.13,-0.93,7.25,2.58,3.81,1.5,-7.06,3.89,0.01,2.58,1.68,0.92,1.18,2,-1.48,-8.02,-9.72,-0.14,-8.33,-12.65,-14.08,-24.57,-44.94,-55.28,-41.16,-67.17,-70.35,-70.98,-73.42,-81.96,-85.82
Kent,transit,GGL068,E10000016,Kent,E10,County,-11.19,0.9,-1.05,-2.78,-3.39,-0.16,4.4,5.7,-0.64,-0.57,-1.98,-0.57,-2.01,-4.15,5.29,0.81,-0.53,-1.65,-2.57,3.55,1.63,0.61,0.77,-4.49,-2.18,-3.75,-6.4,-12.7,-11.33,-9.25,-17.88,-25.68,-30.07,-32.41,-35.44,-36.09,-41.43,-53.48,-56.03,-59,-61.82,-64.95,-68.32
Kent,workplace,GGL068,E10000016,Kent,E10,County,-7.06,-18.68,-18.11,-18.43,-19.26,-19.2,-2.08,-1.99,-2.16,0.92,0.5,-0.86,-0.71,-0.42,1.16,0.74,0.63,-0.03,-1.38,-0.4,0.8,0.32,0.2,-0.15,-1.11,-1.61,-3.63,-2.32,-4.23,-6.7,-13.25,-19.96,-24.18,-26.29,-22.73,-28.54,-43.03,-56.21,-61.92,-63.82,-64.09,-54.16,-52.85
North Yorkshire,grocery,GGL096,E10000023,North Yorkshire,E10,County,0.14,3.63,3.27,3.36,1.21,0.51,-1.1,-0.87,-4.21,8.41,2.47,2.77,1.68,1.8,2.17,4.21,5.14,6.12,6.3,8.97,7.82,8.26,3.81,6.84,4.18,7.98,10.44,11.22,16.15,22.09,26.56,21.38,24.22,13.76,10.82,-4.49,-5.25,-24.26,-28.33,-29.83,-31.58,-42.94,-48.23
North Yorkshire,parks,GGL096,E10000023,North Yorkshire,E10,County,2.02,41.47,48.87,44.35,27.4,17.24,-10.65,4.36,-10.19,18.55,11.75,13.7,-12.07,-14.63,10.27,21.09,25.56,21.06,26.03,37.93,21.44,43.55,15.64,19.8,19.73,16.44,36.59,19.64,42.15,46.92,37.09,17.96,43.38,32.18,16.18,30.48,3.56,-14.29,-12.86,-14.38,-36.59,-69.7,-64.85
North Yorkshire,residential,GGL096,E10000023,North Yorkshire,E10,County,0.61,2.38,2.21,2.55,2.88,3.16,1.04,-0.47,4.6,0.49,0.42,0.06,1.02,0.52,-0.38,0.08,0.21,0.42,-0.27,-0.16,-0.32,-1.23,0.47,0.88,1.16,1.29,1.52,1.81,0.38,2.19,5.25,8.67,8.86,9.75,9.73,7.67,14.62,20.89,23.49,24.22,25.73,19.25,14.86
North Yorkshire,retail,GGL096,E10000023,North Yorkshire,E10,County,6.2,16.52,17.04,16.42,12.89,5.63,-0.97,6.1,-10.96,3.73,2.28,5.2,-2.68,2.6,8.4,6.73,8.79,4.84,7.49,5.59,7.39,15.66,1.98,3.21,2.86,3.01,2.26,4.09,10.31,4.38,-3.42,-15.21,-10.07,-19.43,-44.75,-52.83,-41.31,-69.33,-72.49,-73.94,-77.39,-86.15,-88.34
North Yorkshire,transit,GGL096,E10000023,North Yorkshire,E10,County,4.75,8.23,6.39,4.38,2.52,5.59,0.18,14.48,-2.21,3.28,1.41,3,3.09,-4.01,5.2,2.85,2.79,3.91,3.79,11.18,5.58,12.67,1.42,0.82,2.35,-1.26,1.91,-3.32,6.34,-2.85,-9.67,-20.34,-16.72,-24.71,-32.29,-31.45,-38.29,-52.79,-59,-61.51,-65.44,-74,-74.21
North Yorkshire,workplace,GGL096,E10000023,North Yorkshire,E10,County,-1.88,-17.45,-16.16,-16.58,-16.81,-18.27,-3.54,0,-9.87,0.87,1.06,1.48,0.14,0.73,0.68,0.74,1.01,1.42,1.71,1.35,2.32,3.08,0.37,0.18,0.37,0.28,-2.45,-0.12,-2.39,-3.82,-9.27,-16.58,-18.93,-21.49,-22.47,-29.23,-39.13,-52.91,-59.85,-62.23,-62.88,-56.65,-55.21
UK,grocery,NA,NA,NA,NA,NA,-6.46,1.26,-1.03,-1.84,-1.87,-0.7,-2.26,-2.17,-0.72,4.22,-0.28,0.89,0.86,0.91,1.84,3.92,2.59,3.38,1.98,5.64,1.63,2.47,3.66,4.95,4.85,10.73,11.27,7.35,7,20.06,20.78,22.41,24.12,9.89,1.28,-13.55,-8.05,-23.63,-25.84,-28.06,-28.8,-38.76,-45.67
UK,parks,NA,NA,NA,NA,NA,-28.04,24.21,19.68,7.84,4.13,10.03,-6.93,-4.55,-8.56,3.4,5.69,7.63,-12.73,-14.23,14.23,13.78,11.36,1.96,1.19,22.23,6.86,15.32,4.2,3.54,9.59,5.43,12.48,0.72,-1.05,29.34,6.34,-3.17,2.45,6.2,1.68,19.59,1.42,-14.46,-11.87,-10.98,-26.36,-54.39,-52.36
UK,residential,NA,NA,NA,NA,NA,1.14,2.1,2.29,2.54,2.8,2.78,0.56,-0.3,1.4,0.37,0.49,0.49,1,0.49,-0.7,0.12,0.14,0.58,0.7,0.12,0.02,-0.61,0.79,1.07,1.28,1.66,2.36,2.43,1.87,3.66,7.49,10.4,11.45,12.73,10.8,8.56,17.21,23.65,26.19,27.05,28.25,19.68,15.44
UK,retail,NA,NA,NA,NA,NA,-6.65,9.77,6.81,5.69,4.71,4.74,-3.64,-0.75,-3.27,-0.77,0.54,2.19,0.54,1.1,6.65,4.48,2.17,1.91,-0.96,4.69,-0.26,3.87,0.07,-1.66,-0.16,-1.47,-2.19,-10.12,-10.75,-3.01,-15.28,-21.09,-21.46,-28.34,-49.73,-56.45,-45.14,-70.82,-73.34,-74.27,-75.79,-83.18,-84.79
UK,transit,NA,NA,NA,NA,NA,-6.88,-1.56,-2.66,-3.75,-5.18,-2.52,-1.63,2.89,-2.17,0.61,-0.65,0.07,0.05,-2.31,5.36,0,-0.98,-1.61,-2.85,1.19,-0.51,2.05,-3.27,-3.99,-5.57,-8.12,-9.33,-15.14,-15.98,-16.47,-27.05,-33.84,-36.73,-39.53,-46.18,-46.04,-52.5,-64.16,-67.94,-69.83,-70.67,-73.98,-74.71
UK,workplaces,NA,NA,NA,NA,NA,-2.8,-14.37,-13.67,-13.62,-14.27,-14.83,-1.82,-0.82,-2.08,0.58,0.68,0.19,-0.68,0.37,1.35,0.68,0.89,0.79,0.42,0.61,1.35,1.19,0.07,-0.33,-0.35,-1.45,-3.94,-2.17,-3.96,-8.72,-16.42,-22.72,-26.87,-28.85,-25.26,-29.99,-45.5,-58.24,-64,-66.08,-66.38,-57.17,-55.32
