Country,Country code,Category,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29
Mexico,MX,Parks,7,3,3,2,2,-1,7,8,6,7,3,-0,3,5,7,2,2,2,3,-0,4,10,-8,2,2,3,3,6,6,-7,-8,-14,-16,-22,-32,-37,-30,-33,-36,-36,-37,-39,-46
Mexico,MX,Transit stations,6,5,2,3,3,4,4,7,4,2,1,2,6,5,7,4,2,3,3,3,2,4,-17,3,2,3,5,4,-4,-30,-9,-17,-22,-26,-29,-33,-37,-41,-44,-46,-47,-43,-47
Mexico,MX,Workplace,2,11,9,8,7,11,4,2,8,6,6,7,12,6,3,10,9,9,8,12,6,3,-16,9,8,8,5,3,1,-54,-3,-10,-14,-14,-7,-10,-29,-34,-36,-37,-34,-18,-20
Mexico,MX,Residential,-1,-2,-2,-1,-1,-1,-0,-1,-1,-1,-1,-1,-2,-1,-1,-2,-2,-1,-1,-1,-0,-0,7,-2,-1,-2,-1,-1,-1,13,2,6,7,9,9,8,12,14,16,16,17,12,11
SaudiArabia,SA,Retail & recreation,-5,-8,-7,-7,-5,-6,-9,-7,-9,-6,-5,2,3,1,1,-2,-1,-1,1,-1,-4,-4,-8,-5,-7,-10,-16,-16,-14,-29,-35,-38,-41,-50,-49,-49,-58,-56,-54,-57,-65,-56,-54
SaudiArabia,SA,Grocery & pharmacy,-2,-4,-3,-4,-4,-3,-4,-4,-6,-3,-1,5,6,6,5,3,3,2,3,2,2,2,2,3,0,0,-1,-0,4,2,-5,-8,-12,-18,-16,-18,-25,-22,-19,-22,-29,-24,-24
SaudiArabia,SA,Parks,0,3,3,8,-3,4,-3,3,5,2,-3,-3,3,-2,2,-0,-0,2,-2,-1,-9,-2,0,4,4,-12,-17,-14,-8,-19,-25,-29,-42,-59,-50,-43,-51,-51,-51,-61,-74,-59,-49
SaudiArabia,SA,Transit stations,-5,-7,-6,-4,-3,-13,-8,-7,-8,-3,-3,-2,-10,-6,-6,-8,-8,-6,-9,-17,-16,-18,-21,-19,-21,-25,-31,-28,-34,-43,-47,-50,-56,-62,-69,-69,-72,-73,-73,-76,-82,-77,-75
SaudiArabia,SA,Workplace,4,4,4,3,3,-4,0,4,4,3,-1,3,-3,2,5,4,4,4,4,-3,2,4,-8,-9,-9,-9,-5,-0,-11,-19,-24,-27,-31,-21,-20,-37,-42,-43,-44,-46,-38,-31,-45
SaudiArabia,SA,Residential,2,2,2,1,2,2,2,2,2,1,2,1,2,1,1,1,1,1,1,2,2,2,5,5,5,7,6,5,7,9,11,13,16,14,14,18,21,22,21,26,21,19,23
SouthAfrica,ZA,Retail & recreation,-3,-10,-12,-12,-5,-3,-4,-9,-11,-1,1,6,12,20,18,4,2,3,4,7,8,-1,-8,-9,-8,-6,1,2,-6,-10,-15,-14,-16,-14,-24,-31,-20,-7,9,16,-80,-80,-79
SouthAfrica,ZA,Grocery & pharmacy,-1,-10,-12,-12,-6,-6,-8,-6,-13,-1,-1,5,11,14,21,5,5,5,7,8,6,3,-7,-8,-8,-5,2,1,-0,1,-4,-4,-5,1,-6,-10,-4,18,34,59,-61,-60,-60
SouthAfrica,ZA,Parks,-10,-10,-8,-7,-6,-4,-18,-21,-10,-5,-4,-6,-6,-8,-3,-7,-1,-1,-1,1,-3,-12,-11,-9,-7,-6,-5,-10,-18,-18,-16,-12,-10,-14,-21,-23,-15,-16,-13,-9,-47,-59,-55
SouthAfrica,ZA,Transit stations,-6,3,0,-2,1,4,-8,-12,-2,2,4,6,17,8,9,10,11,9,9,13,2,-5,1,0,-2,-4,-1,-8,-14,-11,-14,-16,-20,-19,-26,-36,-33,-28,-19,-26,-81,-79,-80
SouthAfrica,ZA,Workplace,-1,4,4,3,3,3,2,-1,5,5,5,5,4,5,7,7,9,8,8,8,6,3,6,5,4,3,3,4,2,2,-3,-8,-14,-15,-18,-11,-21,-22,-24,-32,-75,-58,-49
SouthAfrica,ZA,Residential,-0,1,1,1,-1,-3,0,3,1,-1,-1,-1,-2,-2,-1,1,-1,-0,0,-1,-0,2,1,-1,-2,-2,-4,-1,2,3,5,7,9,9,8,9,11,9,7,6,40,28,24
SouthKorea,KR,Retail & recreation,-11,-7,-1,-5,-7,-15,-26,-31,-21,-33,-29,-30,-37,-38,-41,-23,-24,-30,-28,-27,-32,-27,-19,-27,-22,-23,-24,-25,-28,-17,-19,-19,-28,-20,-21,-20,-15,-16,-18,-25,-23,-23,-19
SouthKorea,KR,Grocery & pharmacy,-0,-6,-3,-1,-3,-4,-6,-18,6,-13,-7,-10,-17,-10,-8,-1,-7,-10,-11,-8,-7,-14,1,-11,-3,-5,-5,1,1,1,-5,-1,-13,-2,4,-8,6,0,1,-8,-4,2,11
SouthKorea,KR,Parks,-31,-17,-5,14,7,-10,-32,-12,6,-38,5,1,-38,-13,-17,10,2,-7,-2,1,-16,34,16,-32,23,19,2,4,-3,23,12,47,-18,17,31,52,47,40,61,3,4,16,51
SouthKorea,KR,Transit stations,-15,-6,-3,-4,-6,-10,-24,-25,-15,-26,-22,-24,-30,-32,-36,-20,-21,-25,-25,-22,-29,-24,-17,-25,-18,-20,-20,-22,-29,-16,-17,-16,-25,-17,-18,-17,-13,-13,-14,-21,-20,-20,-17
SouthKorea,KR,Workplace,-3,0,2,1,1,-0,-4,-9,-6,-10,-11,-10,-12,-10,-16,-8,-9,-11,-9,-9,-8,-14,-6,-9,-8,-7,-7,-5,-12,-6,-6,-7,-7,-6,-5,-12,-5,-6,-8,-7,-8,-7,-12
SouthKorea,KR,Residential,4,5,2,2,2,5,9,8,8,10,9,9,13,12,11,9,8,10,9,10,11,9,8,9,8,8,9,9,9,8,6,7,9,8,7,7,7,5,7,8,10,8,6
Turkey,TR,Retail & recreation,7,6,4,0,-1,-4,0,7,3,3,1,-2,-3,-6,9,6,7,2,3,6,13,18,8,2,3,6,-2,-7,-15,-12,-26,-37,-41,-45,-52,-64,-51,-57,-58,-57,-59,-66,-75
Turkey,TR,Grocery & pharmacy,6,5,6,3,2,0,1,5,3,6,6,4,3,-2,10,7,9,7,8,10,12,15,8,7,21,19,14,10,5,13,14,1,-3,-6,-10,-20,-13,-21,-22,-20,-21,-27,-39
Turkey,TR,Parks,14,10,11,6,2,-8,-10,21,7,12,15,7,6,-16,35,18,23,16,10,17,34,68,24,4,15,25,11,10,3,-13,-19,-29,-28,-27,-32,-33,-32,-39,-38,-32,-40,-57,-58
Turkey,TR,Transit stations,2,5,4,0,0,-3,-4,3,3,4,3,3,-0,-10,3,7,6,4,4,4,9,12,8,1,3,6,2,-4,-16,-14,-22,-33,-38,-41,-46,-55,-48,-54,-55,-55,-57,-63,-71
Turkey,TR,Workplace,5,8,8,9,10,7,8,7,9,9,10,11,8,7,7,10,10,11,12,9,10,8,10,10,11,12,6,4,1,-12,-19,-23,-25,-30,-26,-35,-37,-42,-43,-43,-45,-40,-45
Turkey,TR,Residential,0,-2,-2,-2,-1,0,1,0,-1,-2,-2,-1,-1,2,-0,-2,-3,-2,-2,-2,-2,-3,-3,-2,-2,-2,-0,1,2,5,8,11,13,16,15,13,16,18,19,19,22,20,17
